Name of the college,District
A M A L College,Visakhapatnam
A Veeriya Vendayar Memorial Sri Pushpam College,Thanjavur
A. K. Singh College,
A. V. Patel Commerce College,Valsad
A.B.M. College,Purbi Singhbhum
A.B.M. Degree College,Prakasam
A.B.N & P.R.R. College,
A.B.R. College of Engineering & Technology,
A.B.R.L. Degree College,Sant Kabir Nagar
A.C.T. College of Engineering and Technology,Kancheepuram
A.D. Biligowda First Grade College,Mandya
A.D. Mahavidyalaya,Puri
A.D. Patel Institute of Technology,
A.D.M. College for Women,Nagapattinam
A.D.P. College,Nagaon
A.D.V.S. First Grade College,Davanagere
A.E.S. College,Sonbhadra
A.E.S. National College,Kolar
A.G Padmavathi College of Nursing,,
A.G. Hashmi Degree College,Balrampur
A.G.K.M. College,Guntur
A.I. Jat Heroe's Memorial College,Rohtak
A.J. College of Education,Krishna
A.J. Institute of Management,
A.J. Kalasala,Krishna
A.J.K. College of Arts & Science,Coimbatore
A.K. (PG) College,Firozabad
A.K.K. New Law Academy,Pune
A.K.P. Degree College,Bulandshahr
A.L. Choudhury College,Hailakandi
A.M Reddy Memorial College of Pharmacy,
A.M Reddy Memorial College of Pharmacy,Guntur
A.M. College of Education,Nashik
A.M. College of Law.,Mathura
A.M. College,Gaya
A.M. Reddy Memorial College of Engineering and Technology (HM),,
A.M.C.S. College,Kandhamal
A.M.P. law College,Rajkot
A.N. College,Patna
A.N. Varadarjula First Grade College,Hassan
A.N.D. College,Samastipur
A.N.D. Teachers' Training College,Sitapur
A.N.P. Sanskrit Mahavidyalaya,Madhubani
A.N.R. College,Krishna
A.N.S. College,Aurangabad
A.N.S. College,Patna
A.P. Gupta Awam Srimati Geeta Devi Mahila Mahavidyalaya,Gorakhpur
A.P. Mahavidyalaya,Kushinagar
A.P. Residential Degree College,Guntur
A.P. Sen Memorial Girls College,Lucknow
A.P. Singh Mahavidyalaya,Pratapgarh
A.P.A. College for Women,
A.P.C. Mahalaxmi College for women,
A.P.S. Mahavidyalaya,
A.R. Burla Mahila Varishtha Mahavidyalaya,Solapur
A.R. Govindaswamy College of Arts and Commerce,Davanagere
A.R.C. Degree College,Sant Kabir Nagar
A.R.M. First Grade College,Davanagere
A.R.S. Shakhida Arts & C.C. Gediwala Commerce & C.C. Home Science College,
A.S. College for Women,Ludhiana
A.S. College,Kashmir
A.S. College,Ludhiana
A.S. College,Rohtas
A.S. Degree College,
A.S.B.D. Memorial Degree College,Hardoi
A.S.N. Pharmacy College,Guntur
A.S.P. College of Commerce,
A.S.S. Ayurved College,
A.S.S.P. Mandal’s Maharaj J.P. Valvi Arts, Commerce & Shri. V.K.Kulkarni Science College,
A.U. College of Engineering,Visakhapatnam
A.V. College of Science Arts & Commerce,
A.V. Kamalamma College for Women,Davanagere
A.V. Kanthamma College for Women,
A.V.C. College,
A.V.P. College of Arts & Science (Co-Education),,Tirupur
A.V.R. & S.V.R. Engineering College,Kurnool
A.V.V. Degree & P.G. College,Warangal
AAA College of Engineering and Technology,
Aadinath College of Education,Lalitpur
AAER’S Asian College of Science and Commerce,Pune
Aakansha College,Muzaffarnagar
Aala Hazrat Degree College,Bareilly
Aalim Muhammed Salegh College of Engineering,
Aaryabhatta Kala Avam Vigyan Mahavidyalaya.,Gariaband
Aastha Educational Institute,
Aayojan School of Architecture and Design,Pune
Aayojan School of Architecture,Jaipur
Abacus Institute of Engineering and Management,
Abasaheb Marathe Arts and New Commerce, Science College,
Abasaheb Parvekar Mahavidyalaya,Yavatmal
Abbas Khan College for Women,
Abdul Ahad Azad Memorial Degree,Kashmir
Abdul Aziz Ansari Degree College,
Abdul Gaffar Mahavidyalaya,Unnao
Abdul Kalam Institute of Technological Sciences,
Abdul Qaiyum Ansari College,Jehanabad
Abdul Razaq Memorial Degree College,
Abdul Razzaq Degree College,
Abdul Usman Mahavidyalaya,Mau
Abeda Inamdar Senior College of Arts, Science & Commerce,Pune
ABES Engineering College,Ghaziabad
Abha Yadav Smarak Kanya Degree College,Allahabad
Abhai Balika Mahavidyalaya,Allahabad
Abhay College of Commerce and Education,Varanasi
Abhay Mahavidyalaya,Varanasi
Abhay Pratap Singh Degree College,Fatehpur
Abhay Veer Smriti Mahavidyalaya,Etawah
Abhay Yuwa Kalyan Kendra's College of Education,Dhule
Abhay Yuwa Kalyan Kendras Arts Mahila Mahavidyalaya,Dhule
Abhayapuri College,Goalpara
Abhedananda Mahavidyalaya,Birbhum
Abhimanyu Samanta Singhar College,Jaipur
Abhinav Education Society’s College of Education,Pune
Abhinav Pragya Mahavidyalaya,Fatehpur
Abhinav Pragya Mahavidyalaya,Hamirpur
Abhinav Shetkari Shikshan Mandal’s Abhinav College of Arts, Commerce and Science,Thane
Abhinava Sewa Sansthan Mahavidyalaya,
AbhinavPragya Mahavidyalaya,Hamirpur
Abhyudaya Oriental College (Evening),Hyderabad
ABMS Parishad's yashwantrao Chavan Law College,Pune
Abul Kalam Azad Educational Institute,Siddharthnagar
Abul Kalam Azad Mahavidyalaya,,Gonda
Abul Kalam Minority Teachers Training College,West Champaran
Academy of Business Administration,
Academy of Scientific and Innovative Research,Ghaziabad
Accurate Institute of Management & Technology,
ACE Engineering College,Rangareddy
Ace Institute of Management & Technology,Budaun
Acharatlal Girdhar Lal Teachers College,Ahmadabad
Acharaya Chankya Mahavidyalaya,Sultanpur
Achariya Arts and Science College,
Achariya College of Engineering Technology,
Acharya & BM Reddy College of Pharmacy,Bangalore
Acharya B.N. Seal College,
Acharya Baldev College,Jaunpur
Acharya Bangalore B-School,Bangalore
Acharya College of Education,Bangalore
Acharya First Grade College for Women,Kolar
Acharya Girish Chandra Bose College,Kolkata
Acharya Institute of Graduate Studies,Bangalore
Acharya Institute of Management and Sciences,
Acharya Institute of Technology,Bangalore
Acharya Jagadish Chandra Bose College,Kolkata
Acharya Naendra Deo Kisan Degree College,Gonda
Acharya Narayana College,Sultanpur
Acharya Narendra Deo Nagar Nigam Girls Degree (PG) College,Kanpur Nagar
Acharya Narendra Dev College,New Delhi
Acharya Pathasala College of Arts & Science,Bangalore
Acharya Pathashala College of Commerce,Bangalore
Acharya Pathashala Evening College of Arts & Commerce,Bangalore
Acharya Prafulla Chandra College,North Twenty Four Parganas
Acharya Prafulla Chandra Roy Government College,Darjiling
Acharya Sukumar Sen Mahavidyalaya,
Acharya Tara Chand Shastri Mahvidhyalaya,Agra
Acharya Triveni Das Balika Mahavidyalay,,Ghazipur
Acharya Tulsi National College of Commerce,Shimoga
Acharya Vinoba Bhave Degree College,Sultanpur
Acharya’s NRV School of Architecture,Bangalore
Achhruram Memorial College,Puruliya
Achyarya Jawadekar Shikshan Shastra Mahavidyalaya,Kolhapur
ACME College of Engineering,Ghaziabad
Acme Institute of Management & Technology,Agra
ACS College of Engineering,Bangalore
Adaikalamatha College,Thanjavur
Adarash College,Giridih
Adarsh Arts and Commerce College,Gadchiroli
Adarsh Bharti Mahavidyalaya,Jaunpur
Adarsh College of Education,Dewas
Adarsh College of Education,Jammu
Adarsh College of Science, Commerce & Arts,
Adarsh Comprehensive College of Education & Research,Pune
Adarsh Devkali Baba Smarak Mahavidyalaya,Azamgarh
Adarsh Hindi Mahavidyalaya Degree Colege,Nizamabad
Adarsh Institute of Management & Science,Dhar
Adarsh Janta Mahavidyalaya,Etah
Adarsh Janta Mahavidyalaya,Kheri
Adarsh Janta Mahavidyalaya,Mirzapur
Adarsh Kanya Mahavidyalaya,Ambedkar Nagar
Adarsh Krishan College of Education,Mainpuri
Adarsh Mahavidhyalaya,Jodhpur
Adarsh Mahila Mahaviyalaya,Bhiwani
Adarsh Nanhku Ram Mahavidyalay,Jaunpur
Adarsh Samaj Mahavidyalaya,Firozabad
Adarsh Sangit College,Sagar
Adarsh Satendra Mahavidyalaya,Lucknow
Adarsh Science, J.B. Arts and Birla Commerce Mahavidyalaya,Amravati
Adarsh Sewa Bhartiya Mahavidyalaya,Varanasi
Adarsh Shikshan Sanstha’s Kalikadevi Arts, Commerce & Science College,Bid
Adarsh Shri Basudeo Sanskrit Mahavidyalaya,Jaunpur
Adarsh Vidya Mandir College of Education Shiksha Mahavidyalaya,Jaipur
Adarsh Vidya Prasarak Sanstha’s, Adarsh College of Arts & Commerce,Thane
Adarsh Vidya Vardhaka Sangha Shiv Parappasangappa Sajjan Art College,Bangalore
Adarsha Education Society's Arts, Commerce and Science College,Parbhani
Adarsha Shikshna Samiti's Commerce College,Gadag
Adharsh Vidhyalaya College of Arts & Science For Women,Erode
Adharshila College of Education,Meerut
Adhi College of Engineering and Technology,Kancheepuram
Adhi Yamaan College of Engineering,Hosur
Adhiparasakthi College of Arts and Science,Vellore
Adhiparasakthi College of Pharmacy,
Adhiparasakthi Engineering College,Kancheepuram
Adhiyamaan College of Engineering,Hosure
