Name of the college,District,State
Aldel Education Trust’s St. John College of Humanities & Science St. John Technical and Educational Campus,Palghar,Maharashtra
Govt Degree College,Kangra,Himachal Pradesh
Lachi Devi Mahila Mahavidyalaya,Ghazipur,Uttar Pradesh
A M A L College,Visakhapatnam,Andhra Pradesh
A Veeriya Vendayar Memorial Sri Pushpam College,Thanjavur,Tamil Nadu
A. K. Singh College,,Jharkhand
A. V. Patel Commerce College,Valsad,Gujarat
A.B.M. College,Purbi Singhbhum,Jharkhand
A.B.M. Degree College,Prakasam,Andhra Pradesh
A.B.N & P.R.R. College,,Andhra Pradesh
A.B.R. College of Engineering & Technology,,Andhra Pradesh
A.B.R.L. Degree College,Sant Kabir Nagar,Uttar Pradesh
A.C.T. College of Engineering and Technology,Kancheepuram,Tamil Nadu
A.D. Biligowda First Grade College,Mandya,Karnataka
A.D. Mahavidyalaya,Puri,Odisha
A.D. Patel Institute of Technology,,Gujarat
A.D.M. College for Women,Nagapattinam,Tamil Nadu
A.D.P. College,Nagaon,Assam
A.D.V.S. First Grade College,Davanagere,Karnataka
A.E.S. College,Sonbhadra,Odisha
A.E.S. National College,Kolar,Karnataka
A.G Padmavathi College of Nursing,,Puducherry
A.G. Hashmi Degree College,Balrampur,Uttar Pradesh
A.G.K.M. College,Guntur,Andhra Pradesh
A.I. Jat Heroe's Memorial College,Rohtak,Haryana
A.J. College of Education,Krishna,Andhra Pradesh
A.J. Institute of Management,,Karnataka
A.J. Kalasala,Krishna,Andhra Pradesh
A.J.K. College of Arts & Science,Coimbatore,Tamil Nadu
A.K. (PG) College,Firozabad,Uttar Pradesh
A.K.K. New Law Academy,Pune,Maharashtra
A.K.P. Degree College,Bulandshahr,Uttar Pradesh
A.L. Choudhury College,Hailakandi,Assam
A.M Reddy Memorial College of Pharmacy,Guntur,Andhra Pradesh
A.M Reddy Memorial College of Pharmacy,,Andhra Pradesh
A.M. College,Gaya,Bihar
A.M. College of Education,Nashik,Maharashtra
A.M. College of Law.,Mathura,Uttar Pradesh
A.M. Reddy Memorial College of Engineering and Technology (HM),,Andhra Pradesh
A.M.C.S. College,Kandhamal,Odisha
A.M.P. law College,Rajkot,Gujarat
A.N. College,Patna,Bihar
A.N. Varadarjula First Grade College,Hassan,Karnataka
A.N.D. College,Samastipur,Bihar
A.N.D. Teachers' Training College,Sitapur,Uttar Pradesh
A.N.P. Sanskrit Mahavidyalaya,Madhubani,Bihar
A.N.R. College,Krishna,Andhra Pradesh
A.N.S. College,Aurangabad,Bihar
A.N.S. College,Patna,Bihar
A.P. Gupta Awam Srimati Geeta Devi Mahila Mahavidyalaya,Gorakhpur,Uttar Pradesh
A.P. Mahavidyalaya,Kushinagar,Uttar Pradesh
A.P. Residential Degree College,Guntur,Andhra Pradesh
A.P. Sen Memorial Girls College,Lucknow,Uttar Pradesh
A.P. Singh Mahavidyalaya,Pratapgarh,Uttar Pradesh
A.P.A. College for Women,,Tamil Nadu
A.P.C. Mahalaxmi College for women,,Tamil Nadu
A.P.S. Mahavidyalaya,,Uttar Pradesh
A.R. Burla Mahila Varishtha Mahavidyalaya,Solapur,Maharashtra
A.R. Govindaswamy College of Arts and Commerce,Davanagere,Karnataka
A.R.C. Degree College,Sant Kabir Nagar,Uttar Pradesh
A.R.M. First Grade College,Davanagere,Karnataka
A.R.S. Shakhida Arts & C.C. Gediwala Commerce & C.C. Home Science College,,Gujarat
A.S. College,Rohtas,Bihar
A.S. College,Kashmir,Jammu and Kashmir
A.S. College,Ludhiana,Punjab
A.S. College for Women,Ludhiana,Punjab
A.S. Degree College,,Uttar Pradesh
A.S.B.D. Memorial Degree College,Hardoi,Uttar Pradesh
A.S.N. Pharmacy College,Guntur,Andhra Pradesh
A.S.P. College of Commerce,,Karnataka
A.S.S. Ayurved College,,Karnataka
A.S.S.P. Mandal’s Maharaj J.P. Valvi Arts Commerce & Shri. V.K.Kulkarni Science College,,Maharashtra
A.U. College of Engineering,Visakhapatnam,Andhra Pradesh
A.V. College of Science Arts & Commerce,,Telangana
A.V. Kamalamma College for Women,Davanagere,Karnataka
A.V. Kanthamma College for Women,,Karnataka
A.V.C. College,,Tamil Nadu
A.V.P. College of Arts & Science (Co-Education),Tirupur,Tamil Nadu
A.V.R. & S.V.R. Engineering College,Kurnool,Andhra Pradesh
A.V.V. Degree & P.G. College,Warangal,Telangana
AAA College of Engineering and Technology,,Tamil Nadu
Aadinath College of Education,Lalitpur,Uttar Pradesh
AAER’S Asian College of Science and Commerce,Pune,Maharashtra
Aakansha College,Muzaffarnagar,Uttar Pradesh
Aala Hazrat Degree College,Bareilly,Uttar Pradesh
Aalim Muhammed Salegh College of Engineering,,Tamil Nadu
Aaryabhatta Kala Avam Vigyan Mahavidyalaya.,Gariaband,Chhattisgarh
Aastha Educational Institute,,Uttar Pradesh
Aayojan School of Architecture,Jaipur,Rajasthan
Aayojan School of Architecture and Design,Pune,Maharashtra
Abacus Institute of Engineering and Management,,West Bengal
Abasaheb Marathe Arts and New Commerce Science College,,Maharashtra
Abasaheb Parvekar Mahavidyalaya,Yavatmal,Maharashtra
Abbas Khan College for Women,,Karnataka
Abdul Ahad Azad Memorial Degree,Kashmir,Jammu and Kashmir
Abdul Aziz Ansari Degree College,,Uttar Pradesh
Abdul Gaffar Mahavidyalaya,Unnao,Uttar Pradesh
Abdul Kalam Institute of Technological Sciences,,Telangana
Abdul Qaiyum Ansari College,Jehanabad,Bihar
Abdul Razaq Memorial Degree College,,Uttar Pradesh
Abdul Razzaq Degree College,,Uttar Pradesh
Abdul Usman Mahavidyalaya,Mau,Uttar Pradesh
Abeda Inamdar Senior College of Arts Science & Commerce,Pune,Maharashtra
ABES Engineering College,Ghaziabad,Uttar Pradesh
Abha Yadav Smarak Kanya Degree College,Allahabad,Uttar Pradesh
Abhai Balika Mahavidyalaya,Allahabad,Uttar Pradesh
Abhay College of Commerce and Education,Varanasi,Uttar Pradesh
Abhay Mahavidyalaya,Varanasi,Uttar Pradesh
Abhay Pratap Singh Degree College,Fatehpur,Uttar Pradesh
Abhay Veer Smriti Mahavidyalaya,Etawah,Uttar Pradesh
Abhay Yuwa Kalyan Kendra's College of Education,Dhule,Maharashtra
Abhay Yuwa Kalyan Kendras Arts Mahila Mahavidyalaya,Dhule,Maharashtra
Abhayapuri College,Goalpara,Assam
Abhedananda Mahavidyalaya,Birbhum,West Bengal
Abhimanyu Samanta Singhar College,Jaipur,Odisha
Abhinav Education Society’s College of Education,Pune,Maharashtra
Abhinav Pragya Mahavidyalaya,Hamirpur,Uttar Pradesh
Abhinav Pragya Mahavidyalaya,Hamirpur,Uttar Pradesh
Abhinav Pragya Mahavidyalaya,Fatehpur,Uttar Pradesh
Abhinav Shetkari Shikshan Mandal’s Abhinav College of Arts Commerce and Science,Thane,Maharashtra
Abhinava Sewa Sansthan Mahavidyalaya,,Uttar Pradesh
AbhinavPragya Mahavidyalaya,Hamirpur,Uttar Pradesh
Abhyudaya Oriental College (Evening),Hyderabad,Telangana
ABMS Parishad's yashwantrao Chavan Law College,Pune,Maharashtra
Abul Kalam Azad Educational Institute,Siddharthnagar,Uttar Pradesh
